ET,NEE,dayind
2.479719038,-2.04167165,1251
2.683847611,-1.875787033,1252
2.29335716,-0.928145797,1253
2.559019316,-2.186771208,1254
2.597878919,-1.595308395,1255
2.159232282,-0.691486386,1256
2.270331394,-1.955591119,1257
2.029141081,-2.222500306,1258
2.73602936,-2.602662437,1259
1.917484458,-4.304123617,1260
1.88069521,-4.347486234,1261
1.848816715,-3.372914078,1262
2.164500301,-1.258400565,1263
1.967291475,-2.739746454,1264
1.873631232,-1.074282457,1265
1.496693639,-0.476387753,1266
1.520488741,-0.593189587,1267
1.83439384,-1.555905012,1268
1.869116893,-1.933315591,1269
1.632322668,-0.585791075,1270
1.604008977,-2.085055022,1271
1.492962265,-0.871349502,1272
2.266469152,-2.304100782,1273
2.700570144,-2.034967134,1274
2.178278089,-1.452818995,1275
2.254014299,-2.207741766,1276
1.754108061,-2.646661973,1277
1.299953674,-1.674271687,1278
1.562065966,-1.525944293,1279
2.913217419,-1.349550075,1280
2.686878009,-0.751530624,1281
1.664696055,-0.786535891,1282
1.477650877,-0.035803902,1283
2.136930722,-1.830808985,1284
2.010672338,-1.924614486,1285
1.347389224,-1.503861397,1286
1.358268898,-1.184315348,1287
1.719836706,-0.321350437,1288
1.404800358,-0.186784478,1289
1.783931349,0.008326001,1290
1.930244378,0.097321314,1291
1.550893141,0.15081259,1292
2.714667773,-0.582633287,1293
2.526262176,-0.011212244,1294
3.368986663,-0.325557218,1295
2.554972495,0.53414613,1296
2.695503063,-0.138633076,1297
3.250649521,-0.648900136,1298
2.68803332,-1.507054642,1299
2.770982809,-0.356219499,1300
2.787796259,-2.305661732,1301
2.478893676,-2.15268781,1302
2.99120117,-2.508280984,1303
3.386072298,-2.521247243,1304
2.886872129,-2.755565446,1305
3.046528278,-1.984076719,1306
2.839008384,-2.453096228,1307
3.201024056,-2.245582686,1308
3.842367772,-2.75479924,1309
3.739139005,-3.471077267,1310
3.340830529,-3.157460016,1311
3.912397732,-2.015185233,1312
3.755987024,-3.20695617,1313
3.623593585,-2.709764116,1314
3.573885736,-1.376341331,1315
3.301655222,-3.364592833,1316
3.185823066,-3.368100646,1317
3.316663221,-2.206537543,1318
3.664960274,-2.139542972,1319
3.579857077,-2.135319544,1320
4.483967375,-2.835585298,1321
3.375961676,-2.49838625,1322
3.626467159,-2.631866679,1323
3.872282441,-3.751209988,1324
4.704125855,-2.909558092,1325
3.939192223,-1.456728936,1326
3.5325368,-3.594625127,1327
3.962350464,-3.829654622,1328
3.646436563,-2.086759959,1329
3.106216837,-2.375889544,1330
3.204295472,-3.461650602,1331
2.216708497,-3.139083402,1332
4.248556519,-3.778449423,1333
4.206550499,-2.615021179,1334
3.873666422,-2.818485117,1335
2.317748501,-2.812591127,1336
4.171552683,-3.501915966,1337
4.087441908,-2.589536192,1338
2.896044512,-4.23745291,1339
3.641713639,-3.742979979,1340
3.026419433,-2.292050987,1341
2.971438568,-4.41517199,1342
2.739009824,-3.105199338,1343
2.537227805,-2.72079951,1344
2.54830657,-3.449330126,1345
1.939912269,-3.120847965,1346
3.185732574,-2.582467814,1347
2.681369379,-3.930999164,1348
2.189095005,-4.507845047,1349
2.019254136,-3.013884005,1350
1.943368113,-2.744537618,1351
1.693627862,-2.551536366,1352
1.604521908,-1.877705574,1353
1.528031486,-2.007246659,1354
1.342174636,-1.419574445,1355
1.639225002,-1.697803543,1356
1.742808029,-1.3777317,1357
1.129013968,-1.025305395,1358
1.084105207,-1.826893855,1359
1.450644342,-1.356500192,1360
0.697864025,-0.247431693,1361
3.380257993,-4.555833868,1362
2.954355265,-3.151218812,1363
2.587742116,-2.838566668,1364
2.606984207,-3.662375743,1365
3.316877545,-1.833581508,1366
2.630714371,-2.601306875,1367
2.45027284,-1.532119557,1368
2.532856207,-2.30417083,1369
2.34498842,-3.192021644,1370
2.096310702,-2.960745563,1371
1.85466547,-3.336640594,1372
3.424315516,-3.987130218,1373
2.192321231,-3.563910958,1374
2.120146045,-1.846830986,1375
2.302310961,-3.174727966,1376
3.162321103,-3.677570787,1377
2.141287603,-4.310744249,1378
1.86151899,-3.894129405,1379
1.944259113,-4.020271858,1380
2.057288981,-3.648350114,1381
1.581250278,-4.387573667,1382
1.717887096,-3.28871447,1383
1.667690576,-2.868534306,1384
1.498683561,-2.468975539,1385
1.513515371,-2.661423324,1386
1.457992428,-2.638259438,1387
1.866013426,-2.16330097,1388
1.84444557,-2.716666021,1389
2.019718653,-2.139197055,1390
1.346242343,-2.861852058,1391
1.259049707,-1.819211259,1392
1.569802072,-4.770054521,1393
1.013425911,-1.594679907,1394
1.537912904,-3.398439711,1395
1.657503152,-3.734073054,1396
1.504747584,-3.15483494,1397
1.382196047,-2.122900482,1398
1.691319382,-1.436886932,1399
1.610531934,-2.848401299,1400
1.835056763,-2.798306925,1552
2.018317731,-1.625886143,1553
1.784532329,-3.637154084,1554
1.338448354,-3.20458037,1555
1.621807214,-2.146175278,1556
1.30032562,-3.375225667,1557
2.020362342,-1.233211336,1558
3.402334381,-1.346388179,1559
2.038208691,-0.292499679,1560
1.230111432,-2.889013877,1561
1.826185523,-2.374694618,1562
1.870828261,-2.73566723,1563
2.000247146,-2.81125978,1564
1.267343502,-4.464549884,1565
1.743203539,-3.91054186,1566
1.570841935,-3.832373528,1567
1.480444419,-3.162413977,1568
1.801751549,-3.423524949,1569
2.600696717,-4.40362572,1570
2.553768915,-2.446983014,1571
2.046414677,-2.761682768,1572
1.754666136,-3.403183312,1573
1.682836767,-2.053016424,1574
2.237808951,-1.885035118,1575
2.125276787,-3.484616883,1576
2.411484679,-1.767275743,1577
2.273830219,-3.135649529,1578
2.71418973,-2.470663397,1579
2.451269176,-2.445356124,1580
1.959627269,-4.286758162,1581
1.61327227,-0.801142228,1582
2.045034718,-1.878396975,1583
2.213409975,-1.477883045,1584
2.010474667,-2.06914566,1585
2.020082557,-2.714467287,1586
1.834127832,-2.359800305,1587
2.084401527,-1.994152411,1588
1.890614445,-1.470860718,1589
1.725871105,-1.403523041,1590
1.600853822,-1.070595416,1591
1.111085309,-3.380725744,1592
1.360675298,-4.46953087,1593
1.533682804,-1.75560624,1594
1.242243008,-0.665200817,1595
1.228082723,-1.972646331,1596
1.754666793,-1.123728669,1597
0.998480045,-2.971675885,1598
1.22881207,-1.829181662,1599
2.125252448,-2.023174398,1600
1.331232273,-3.449189814,1601
1.54359456,-3.576311643,1602
1.860722909,-0.992041603,1603
1.567922179,-0.855890047,1604
1.618929386,-2.760189705,1605
1.357124036,-2.05894306,1606
1.300626713,-0.388844642,1607
